Nodes,StorageTypes,Period,EnergyInitialCapacity
Austria,HydroPumpStorage,1,124704.0
BosniaH,HydroPumpStorage,1,2199.34
Belgium,HydroPumpStorage,1,7762.5
Bulgaria,HydroPumpStorage,1,1499.2
Switzerland,HydroPumpStorage,1,368989.0
CzechR,HydroPumpStorage,1,6723.5
Germany,HydroPumpStorage,1,38626.0
Spain,HydroPumpStorage,1,1530150.91
France,HydroPumpStorage,1,184296.0
GreatBrit.,HydroPumpStorage,1,33432.0
Greece,HydroPumpStorage,1,21190.44
Croatia,HydroPumpStorage,1,21190.44
Hungary,HydroPumpStorage,1,1499.2
Ireland,HydroPumpStorage,1,2199.34
Italy,HydroPumpStorage,1,38626.0
Lithuania,HydroPumpStorage,1,49280.0
Luxemb.,HydroPumpStorage,1,6120.0
NO1,HydroPumpStorage,1,1417.4082
NO2,HydroPumpStorage,1,3598.0362
NO3,HydroPumpStorage,1,1635.471
NO4,HydroPumpStorage,1,1962.5652
NO5,HydroPumpStorage,1,2289.6594
Poland,HydroPumpStorage,1,10903.14
Portugal,HydroPumpStorage,1,107254.08
Romania,HydroPumpStorage,1,3686.3928
Serbia,HydroPumpStorage,1,21190.44
Sweden,HydroPumpStorage,1,2199.34
Slovakia,HydroPumpStorage,1,3686.3928
Austria,HydroPumpStorage,2,124704.0
BosniaH,HydroPumpStorage,2,2199.34
Belgium,HydroPumpStorage,2,7762.5
Bulgaria,HydroPumpStorage,2,1499.2
Switzerland,HydroPumpStorage,2,368989.0
CzechR,HydroPumpStorage,2,6723.5
Germany,HydroPumpStorage,2,38626.0
Spain,HydroPumpStorage,2,1530150.91
France,HydroPumpStorage,2,184296.0
GreatBrit.,HydroPumpStorage,2,33432.0
Greece,HydroPumpStorage,2,21190.44
Croatia,HydroPumpStorage,2,21190.44
Hungary,HydroPumpStorage,2,1499.2
Ireland,HydroPumpStorage,2,2199.34
Italy,HydroPumpStorage,2,38626.0
Lithuania,HydroPumpStorage,2,49280.0
Luxemb.,HydroPumpStorage,2,6120.0
NO1,HydroPumpStorage,2,1417.4082
NO2,HydroPumpStorage,2,3598.0362
NO3,HydroPumpStorage,2,1635.471
NO4,HydroPumpStorage,2,1962.5652
NO5,HydroPumpStorage,2,2289.6594
Poland,HydroPumpStorage,2,10903.14
Portugal,HydroPumpStorage,2,107254.08
Romania,HydroPumpStorage,2,3686.3928
Serbia,HydroPumpStorage,2,21190.44
Sweden,HydroPumpStorage,2,2199.34
Slovakia,HydroPumpStorage,2,3686.3928
Austria,HydroPumpStorage,3,124704.0
BosniaH,HydroPumpStorage,3,2199.34
Belgium,HydroPumpStorage,3,7762.5
Bulgaria,HydroPumpStorage,3,1499.2
Switzerland,HydroPumpStorage,3,368989.0
CzechR,HydroPumpStorage,3,6723.5
Germany,HydroPumpStorage,3,38626.0
Spain,HydroPumpStorage,3,1530150.91
France,HydroPumpStorage,3,184296.0
GreatBrit.,HydroPumpStorage,3,33432.0
Greece,HydroPumpStorage,3,21190.44
Croatia,HydroPumpStorage,3,21190.44
Hungary,HydroPumpStorage,3,1499.2
Ireland,HydroPumpStorage,3,2199.34
Italy,HydroPumpStorage,3,38626.0
Lithuania,HydroPumpStorage,3,49280.0
Luxemb.,HydroPumpStorage,3,6120.0
NO1,HydroPumpStorage,3,1417.4082
NO2,HydroPumpStorage,3,3598.0362
NO3,HydroPumpStorage,3,1635.471
NO4,HydroPumpStorage,3,1962.5652
NO5,HydroPumpStorage,3,2289.6594
Poland,HydroPumpStorage,3,10903.14
Portugal,HydroPumpStorage,3,107254.08
Romania,HydroPumpStorage,3,3686.3928
Serbia,HydroPumpStorage,3,21190.44
Sweden,HydroPumpStorage,3,2199.34
Slovakia,HydroPumpStorage,3,3686.3928
